Curriculum learning enabled: 20000 steps per level (easy->medium->transit->normal)
Using cpu device
---------------------------------
| curriculum/        |          |
|    iterations           | 42         |
|    time_elapsed         | 2326       |
|    total_timesteps      | 172032     |
| train/                  |            |
|    approx_kl            | 0.01601075 |
|    clip_fraction        | 0.172      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.772     |
|    explained_variance   | 0.99       |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0306    |
|    n_updates            | 820        |
|    policy_gradient_loss | -0.0124    |
|    value_loss           | 0.0126     |
----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.89        |
|    ep_rew_mean          | 4.89        |
| time/                   |             |
|    fps                  | 73          |
|    iterations           | 43          |
|    time_elapsed         | 2386        |
|    total_timesteps      | 176128      |
| train/                  |             |
|    approx_kl            | 0.014263585 |
|    clip_fraction        | 0.17        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.769      |
|    explained_variance   | 0.988       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0116     |
|    n_updates            | 840         |
|    policy_gradient_loss | -0.0182     |
|    value_loss           | 0.0205      |
-----------------------------------------
----------------------------------------
| curriculum/             |            |
|    level                | 3          |
| rollout/                |            |
|    ep_len_mean          | 4.91       |
|    ep_rew_mean          | 4.91       |
| time/                   |            |
|    fps                  | 73         |
|    iterations           | 44         |
|    time_elapsed         | 2445       |
|    total_timesteps      | 180224     |
| train/                  |            |
|    approx_kl            | 0.01633487 |
|    clip_fraction        | 0.169      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.761     |
|    explained_variance   | 0.989      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0414    |
|    n_updates            | 860        |
|    policy_gradient_loss | -0.0192    |
|    value_loss           | 0.0173     |
----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.83        |
|    ep_rew_mean          | 4.83        |
| time/                   |             |
|    fps                  | 73          |
|    iterations           | 45          |
|    time_elapsed         | 2505        |
|    total_timesteps      | 184320      |
| train/                  |             |
|    approx_kl            | 0.018954596 |
|    clip_fraction        | 0.147       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.766      |
|    explained_variance   | 0.994       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0435     |
|    n_updates            | 880         |
|    policy_gradient_loss | -0.0138     |
|    value_loss           | 0.00954     |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.84        |
|    ep_rew_mean          | 4.84        |
| time/                   |             |
|    fps                  | 73          |
|    iterations           | 46          |
|    time_elapsed         | 2565        |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.014804909 |
|    clip_fraction        | 0.149       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.766      |
|    explained_variance   | 0.99        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.025      |
|    n_updates            | 900         |
|    policy_gradient_loss | -0.0147     |
|    value_loss           | 0.0148      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.89        |
|    ep_rew_mean          | 4.89        |
| time/                   |             |
|    fps                  | 73          |
|    iterations           | 47          |
|    time_elapsed         | 2623        |
|    total_timesteps      | 192512      |
| train/                  |             |
|    approx_kl            | 0.015716642 |
|    clip_fraction        | 0.133       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.756      |
|    explained_variance   | 0.989       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.017      |
|    n_updates            | 920         |
|    policy_gradient_loss | -0.017      |
|    value_loss           | 0.0174      |
-----------------------------------------
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| rollout/                |             |
|    ep_len_mean          | 4.88        |
|    ep_rew_mean          | 4.88        |
| time/                   |             |
|    fps                  | 73          |
|    iterations           | 48          |
|    time_elapsed         | 2682        |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.015693102 |
|    clip_fraction        | 0.154       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.742      |
|    explained_variance   | 0.992       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0398     |
|    n_updates            | 940         |
|    policy_gradient_loss | -0.0162     |
|    value_loss           | 0.0121      |
-----------------------------------------
Eval num_timesteps=200000, episode_reward=2.33 +/- 3.77
Episode length: 4.00 +/- 1.41
-----------------------------------------
| curriculum/             |             |
|    level                | 3           |
| eval/                   |             |
|    mean_ep_length       | 4           |
|    mean_reward          | 2.33        |
| time/                   |             |
|    total_timesteps      | 200000      |
| train/                  |             |
|    approx_kl            | 0.012579226 |
|    clip_fraction        | 0.152       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.741      |
|    explained_variance   | 0.993       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0188     |
|    n_updates            | 960         |
|    policy_gradient_loss | -0.0155     |
|    value_loss           | 0.0114      |
-----------------------------------------
---------------------------------
| curriculum/        |          |
|    level           | 3        |
| rollout/           |          |
|    ep_len_mean     | 4.9      |
|    ep_rew_mean     | 4.9      |
| time/              |          |
|    fps             | 73       |
|    iterations      | 49       |
|    time_elapsed    | 2741     |
|    total_timesteps | 200704   |
---------------------------------

Running evaluation episodes ...
Episode 0, step 0: action = 0
Episode 0, step 1: action = 0
Episode 0, step 2: action = 0
Episode 0, step 3: action = 2
Episode 0, step 4: action = 1
Episode 1, step 0: action = 1
Episode 1, step 1: action = 1
Episode 1, step 2: action = 0
Episode 1, step 3: action = 1
Episode 1, step 4: action = 2
Episode 2, step 0: action = 2
Episode 2, step 1: action = 1
Episode 2, step 2: action = 0
Episode 3, step 0: action = 1
Episode 3, step 1: action = 0
Episode 3, step 2: action = 2
Episode 4, step 0: action = 0
Episode 4, step 1: action = 0
Episode 4, step 2: action = 0
Episode 5, step 0: action = 1
Episode 5, step 1: action = 2
Episode 5, step 2: action = 0
Episode 6, step 0: action = 2
Episode 6, step 1: action = 2
Episode 6, step 2: action = 2
Episode 6, step 3: action = 0
Episode 7, step 0: action = 2
Episode 7, step 1: action = 2
Episode 7, step 2: action = 2
Episode 7, step 3: action = 2
Episode 8, step 0: action = 1
Episode 8, step 1: action = 2
Episode 8, step 2: action = 2
Episode 8, step 3: action = 0
Episode 9, step 0: action = 0
Episode 9, step 1: action = 0
Episode 9, step 2: action = 2
Episode 10, step 0: action = 1
Episode 10, step 1: action = 2
Episode 11, step 0: action = 1
Episode 11, step 1: action = 0
Episode 11, step 2: action = 1
Episode 11, step 3: action = 0
Episode 12, step 0: action = 1
Episode 12, step 1: action = 0
Episode 12, step 2: action = 0
Episode 12, step 3: action = 1
Episode 12, step 4: action = 2
Episode 13, step 0: action = 1
Episode 13, step 1: action = 1
Episode 13, step 2: action = 0
Episode 13, step 3: action = 2
Episode 13, step 4: action = 2
Episode 14, step 0: action = 1
Episode 14, step 1: action = 1
Episode 14, step 2: action = 0
Episode 14, step 3: action = 1
Episode 14, step 4: action = 2
Episode 15, step 0: action = 1
Episode 15, step 1: action = 0
Episode 15, step 2: action = 2
Episode 16, step 0: action = 1
Episode 16, step 1: action = 1
Episode 16, step 2: action = 2
Episode 16, step 3: action = 1
Episode 17, step 0: action = 2
Episode 18, step 0: action = 1
Episode 18, step 1: action = 1
Episode 19, step 0: action = 0
Episode 19, step 1: action = 0
Episode 19, step 2: action = 0
Episode 20, step 0: action = 1
Episode 20, step 1: action = 2
Episode 20, step 2: action = 2
Episode 20, step 3: action = 1
Episode 21, step 0: action = 2
Episode 21, step 1: action = 2
Episode 21, step 2: action = 0
Episode 21, step 3: action = 1
Episode 21, step 4: action = 2
Episode 22, step 0: action = 1
Episode 22, step 1: action = 1
Episode 22, step 2: action = 1
Episode 23, step 0: action = 1
Episode 24, step 0: action = 1
Episode 24, step 1: action = 2
Episode 24, step 2: action = 2
Episode 24, step 3: action = 0
Episode 25, step 0: action = 0
Episode 25, step 1: action = 2
Episode 25, step 2: action = 0
Episode 26, step 0: action = 1
Episode 26, step 1: action = 2
Episode 26, step 2: action = 1
Episode 26, step 3: action = 1
Episode 27, step 0: action = 0
Episode 27, step 1: action = 0
Episode 27, step 2: action = 0
Episode 28, step 0: action = 2
Episode 28, step 1: action = 0
Episode 28, step 2: action = 0
Episode 29, step 0: action = 1
Episode 29, step 1: action = 2
Episode 29, step 2: action = 2
Episode 29, step 3: action = 0
Episode 30, step 0: action = 1
Episode 30, step 1: action = 2
Episode 30, step 2: action = 2
Episode 30, step 3: action = 1
Episode 31, step 0: action = 0
Episode 32, step 0: action = 1
Episode 32, step 1: action = 2
Episode 32, step 2: action = 2
Episode 33, step 0: action = 0
Episode 33, step 1: action = 0
Episode 33, step 2: action = 2
Episode 33, step 3: action = 2
Episode 34, step 0: action = 1
Episode 34, step 1: action = 0
Episode 34, step 2: action = 2
Episode 35, step 0: action = 0
Episode 35, step 1: action = 0
Episode 35, step 2: action = 2
Episode 35, step 3: action = 0
Episode 35, step 4: action = 2
Episode 36, step 0: action = 1
Episode 36, step 1: action = 0
Episode 36, step 2: action = 2
Episode 36, step 3: action = 1
Episode 37, step 0: action = 1
Episode 37, step 1: action = 0
Episode 37, step 2: action = 0
Episode 38, step 0: action = 0
Episode 38, step 1: action = 0
Episode 38, step 2: action = 1
Episode 38, step 3: action = 0
Episode 38, step 4: action = 1
Episode 39, step 0: action = 1
Episode 39, step 1: action = 2
Episode 39, step 2: action = 0
Episode 39, step 3: action = 0
Episode 40, step 0: action = 1
Episode 40, step 1: action = 0
Episode 40, step 2: action = 0
Episode 40, step 3: action = 0
Episode 40, step 4: action = 1
Episode 41, step 0: action = 0
Episode 41, step 1: action = 0
Episode 41, step 2: action = 1
Episode 41, step 3: action = 1
Episode 41, step 4: action = 2
Episode 42, step 0: action = 0
Episode 42, step 1: action = 0
Episode 42, step 2: action = 0
Episode 43, step 0: action = 1
Episode 43, step 1: action = 0
Episode 43, step 2: action = 0
Episode 43, step 3: action = 0
Episode 43, step 4: action = 1
Episode 44, step 0: action = 0
Episode 44, step 1: action = 0
Episode 44, step 2: action = 0
Episode 44, step 3: action = 0
Episode 45, step 0: action = 0
Episode 45, step 1: action = 0
Episode 45, step 2: action = 0
Episode 45, step 3: action = 2
Episode 45, step 4: action = 1
Episode 46, step 0: action = 0
Episode 46, step 1: action = 2
Episode 46, step 2: action = 0
Episode 46, step 3: action = 1
Episode 47, step 0: action = 1
Episode 47, step 1: action = 2
Episode 47, step 2: action = 1
Episode 47, step 3: action = 1
Episode 48, step 0: action = 0
Episode 48, step 1: action = 0
Episode 48, step 2: action = 0
Episode 48, step 3: action = 0
Episode 48, step 4: action = 2
Episode 49, step 0: action = 1
Episode 49, step 1: action = 2
Episode 49, step 2: action = 0
Episode 49, step 3: action = 1
Episode 49, step 4: action = 2
Episode 50, step 0: action = 0
Episode 50, step 1: action = 0
Episode 50, step 2: action = 0
Episode 50, step 3: action = 2
Episode 50, step 4: action = 1
Episode 51, step 0: action = 1
Episode 51, step 1: action = 2
Episode 51, step 2: action = 2
Episode 52, step 0: action = 0
Episode 52, step 1: action = 0
Episode 53, step 0: action = 1
Episode 54, step 0: action = 0
Episode 54, step 1: action = 0
Episode 54, step 2: action = 2
Episode 54, step 3: action = 1
Episode 55, step 0: action = 1
Episode 55, step 1: action = 1
Episode 55, step 2: action = 2
Episode 55, step 3: action = 1
Episode 56, step 0: action = 1
Episode 56, step 1: action = 2
Episode 56, step 2: action = 0
Episode 57, step 0: action = 1
Episode 57, step 1: action = 0
Episode 57, step 2: action = 2
Episode 57, step 3: action = 2
Episode 58, step 0: action = 1
Episode 58, step 1: action = 1
Episode 58, step 2: action = 0
Episode 58, step 3: action = 1
Episode 58, step 4: action = 0
Episode 59, step 0: action = 2
Episode 59, step 1: action = 2
Episode 59, step 2: action = 2
Episode 59, step 3: action = 1
Episode 60, step 0: action = 2
Episode 60, step 1: action = 2
Episode 61, step 0: action = 1
Episode 61, step 1: action = 1
Episode 61, step 2: action = 2
Episode 62, step 0: action = 1
Episode 63, step 0: action = 1
Episode 63, step 1: action = 0
Episode 63, step 2: action = 1
Episode 63, step 3: action = 1
Episode 64, step 0: action = 1
Episode 64, step 1: action = 2
Episode 64, step 2: action = 0
Episode 64, step 3: action = 1
Episode 65, step 0: action = 1
Episode 65, step 1: action = 2
Episode 65, step 2: action = 2
Episode 66, step 0: action = 0
Episode 66, step 1: action = 0
Episode 67, step 0: action = 0
Episode 67, step 1: action = 0
Episode 67, step 2: action = 0
Episode 67, step 3: action = 2
Episode 67, step 4: action = 2
Episode 68, step 0: action = 0
Episode 68, step 1: action = 0
Episode 68, step 2: action = 0
Episode 68, step 3: action = 0
Episode 68, step 4: action = 0
Episode 69, step 0: action = 2
Episode 69, step 1: action = 2
Episode 70, step 0: action = 1
Episode 70, step 1: action = 1
Episode 70, step 2: action = 2
Episode 70, step 3: action = 0
Episode 71, step 0: action = 0
Episode 71, step 1: action = 0
Episode 71, step 2: action = 2
Episode 71, step 3: action = 1
Episode 72, step 0: action = 0
Episode 72, step 1: action = 0
Episode 72, step 2: action = 2
Episode 72, step 3: action = 1
Episode 73, step 0: action = 2
Episode 73, step 1: action = 2
Episode 73, step 2: action = 1
Episode 73, step 3: action = 1
Episode 74, step 0: action = 0
Episode 74, step 1: action = 0
Episode 74, step 2: action = 2
Episode 75, step 0: action = 1
Episode 75, step 1: action = 0
Episode 75, step 2: action = 0
Episode 75, step 3: action = 2
Episode 75, step 4: action = 1
Episode 76, step 0: action = 1
Episode 76, step 1: action = 2
Episode 76, step 2: action = 0
Episode 76, step 3: action = 0
Episode 77, step 0: action = 1
Episode 77, step 1: action = 2
Episode 77, step 2: action = 0
Episode 78, step 0: action = 0
Episode 78, step 1: action = 0
Episode 78, step 2: action = 0
Episode 79, step 0: action = 1
Episode 79, step 1: action = 0
Episode 79, step 2: action = 1
Episode 79, step 3: action = 1
Episode 79, step 4: action = 2
Episode 80, step 0: action = 0
Episode 80, step 1: action = 0
Episode 80, step 2: action = 0
Episode 80, step 3: action = 1
Episode 80, step 4: action = 0
Episode 81, step 0: action = 1
Episode 81, step 1: action = 2
Episode 82, step 0: action = 1
Episode 82, step 1: action = 2
Episode 82, step 2: action = 2
Episode 82, step 3: action = 2
Episode 83, step 0: action = 1
Episode 84, step 0: action = 1
Episode 84, step 1: action = 0
Episode 84, step 2: action = 0
Episode 85, step 0: action = 0
Episode 85, step 1: action = 0
Episode 85, step 2: action = 2
Episode 85, step 3: action = 1
Episode 86, step 0: action = 1
Episode 86, step 1: action = 1
Episode 86, step 2: action = 1
Episode 87, step 0: action = 1
Episode 87, step 1: action = 1
Episode 87, step 2: action = 0
Episode 87, step 3: action = 2
Episode 87, step 4: action = 2
Episode 88, step 0: action = 1
Episode 88, step 1: action = 0
Episode 88, step 2: action = 0
Episode 88, step 3: action = 1
Episode 88, step 4: action = 1
Episode 89, step 0: action = 1
Episode 89, step 1: action = 2
Episode 90, step 0: action = 1
Episode 90, step 1: action = 0
Episode 90, step 2: action = 0
Episode 90, step 3: action = 2
Episode 90, step 4: action = 2
Episode 91, step 0: action = 1
Episode 91, step 1: action = 0
Episode 91, step 2: action = 0
Episode 91, step 3: action = 2
Episode 91, step 4: action = 2
Episode 92, step 0: action = 0
Episode 92, step 1: action = 0
Episode 93, step 0: action = 1
Episode 93, step 1: action = 1
Episode 94, step 0: action = 1
Episode 94, step 1: action = 2
Episode 94, step 2: action = 2
Episode 94, step 3: action = 1
Episode 95, step 0: action = 0
Episode 95, step 1: action = 0
Episode 95, step 2: action = 2
Episode 96, step 0: action = 1
Episode 96, step 1: action = 1
Episode 96, step 2: action = 0
Episode 96, step 3: action = 1
Episode 96, step 4: action = 1
Episode 97, step 0: action = 0
Episode 97, step 1: action = 0
Episode 97, step 2: action = 0
Episode 97, step 3: action = 0
Episode 97, step 4: action = 2
Episode 98, step 0: action = 1
Episode 98, step 1: action = 2
Episode 98, step 2: action = 2
Episode 98, step 3: action = 1
Episode 99, step 0: action = 0
Episode 99, step 1: action = 0
Episode 99, step 2: action = 2
Episode 99, step 3: action = 1

Evaluation Results:
Success Rate: 59.0% (59/100 episodes)
Collision Rate: 41.0% (41/100 episodes)
Timeout Rate: 0.0% (0/100 episodes)
